wordID,wID,unitID,uID,wordSeq,wordToken,wordTranscript
857,0,158,158,0, ,..
858,0,158,158,1,what,what
859,0,158,158,2,about,about
860,0,158,158,3, ,...
861,0,158,158,4,this,[this
862,0,158,158,5,one,|one]
863,0,158,158,6, ,.
864,0,159,159,0,on,[o:n
865,0,159,159,1,this,|this
866,0,159,159,2,one,|o]ne
867,0,159,159,3, ,.
868,0,160,160,0,Let,Let
869,0,160,160,1,me,me
870,0,160,160,2,do,do
871,0,160,160,3,this,this
872,0,160,160,4,one,one
873,0,160,160,5, ,.
874,0,161,161,0, ,..
875,0,161,161,1, ,[]
876,0,162,162,0,But,[But]
877,0,162,162,1, ,","
878,0,163,163,0,you,you
879,0,163,163,1,have,have
880,0,163,163,2,i,i%-
881,0,163,163,3, ,--
882,0,164,164,0, ,..
883,0,164,164,1,you,you
884,0,164,164,2,have,have
885,0,164,164,3,i,i:
886,0,164,164,4,square,square
887,0,164,164,5,root,root
888,0,164,164,6,of,of
889,0,164,164,7,three,three
890,0,164,164,8, ,","
891,0,165,165,0, ,..
892,0,165,165,1,over,over
893,0,165,165,2,square,square
894,0,165,165,3,root,root
895,0,165,165,4,of,of
896,0,165,165,5,three,three
897,0,165,165,6, ,.
898,0,166,166,0, ,...
899,0,166,166,1,I,I
900,0,166,166,2,mean,mean
901,0,166,166,3,z,z-
902,0,166,166,4, ,--
903,0,167,167,0, ,@
904,0,167,167,1, ,@
905,0,167,167,2,i,i
906,0,167,167,3,square,square
907,0,167,167,4,root,root
908,0,167,167,5,of,of
909,0,167,167,6,two,two
910,0,167,167,7,over,over
911,0,167,167,8,three,three-
912,0,167,167,9, ,--
913,0,168,168,0,square,square
914,0,168,168,1,root,root
915,0,168,168,2,of,of
916,0,168,168,3,three,@three
917,0,168,168,4, ,@@
918,0,168,168,5, ,.
919,0,169,169,0, ,@
920,0,169,169,1,I,@I
921,0,169,169,2,can't,@can't
922,0,169,169,3,even,even
923,0,169,169,4,say,say
924,0,169,169,5,it,it
925,0,169,169,6,right,right
926,0,169,169,7, ,.
