Token,Lemma,Transcript,Count,Category,Subcategory,Correction,Special,Two_words,End_tone,Overlap,Lag,@word,#word,%word,_word,Other_symbols,Standoff,Name,Stop_List,[POS]
@(h),,[3@(h):],1,laugh,laugh-breath,CAPS,,,,[],lag,,,,,,,,,
@(h),,[3@(h)],3,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@(h),,[4@(h),3,laugh,laugh-breath,CAPS,,,,[,,,,,,,,,,
@(h),,[4@(h)],4,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@(h),,[5@(h),1,laugh,laugh-breath,CAPS,,,,[,,,,,,,,,,
@(h),,[5@(h)],2,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@(h),,[8@(h),1,laugh,laugh-breath,CAPS,,,,[,,,,,,,,,,
@(h),,[8@(h)],2,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@(h),,[9@(h)],1,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@(h),,@(h),53,laugh,laugh-breath,CAPS,,,,,,,,,,,,,,
@(h),,"@(h),",1,laugh,laugh-breath,CAPS,,,continuing,,,,,,,,,,,
@(h),,@(h):,12,laugh,laugh-breath,CAPS,,,,,lag,,,,,,,,,
@(h),,@(h):],2,laugh,laugh-breath,CAPS,,,,],lag,,,,,,,,,
@(h),,@(h)[:],2,laugh,laugh-breath,CAPS,,,,[],lag,,,,,,,,,
@(h),,@(h)[3:,1,laugh,laugh-breath,CAPS,,,,[,lag,,,,,,,,,
@(h),,@(h)[4:],1,laugh,laugh-breath,CAPS,,,,[],lag,,,,,,,,,
@(h),,@(h)],27,laugh,laugh-breath,CAPS,,,,],,,,,,,,,,
@(h),,@(h)].,1,laugh,laugh-breath,CAPS,,,final,],,,,,,,,,,
@(h),,@(h)3],1,laugh,laugh-breath,CAPS,,,,],,,,,,,,,,
@(h),,@][8(h)],1,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@(h)@,,[4@(h):@],1,laugh,laugh-breath,CAPS,,,,[],lag,,,,,,,,,
@(h)@,,@(h)@,1,laugh,laugh-breath,CAPS,,,,,,,,,,,,,,
@(h)@@,,[3@(h)][4@@],1,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@(h)@@,,@(h)]@@,1,laugh,laugh-breath,CAPS,,,,],,,,,,,,,,
@(h)@@@,,[3@(h)@@@,1,laugh,laugh-breath,CAPS,,,,[,,,,,,,,,,
@@(h),,[@@(h)],1,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@@(h),,[4@@][5(h)],1,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@@(h),,[7@@][8(h)],1,laugh,laugh-breath,CAPS,,,,[],,,,,,,,,,
@@@(h),,[@@@(h)].,1,laugh,laugh-breath,CAPS,,,final,[],,,,,,,,,,
